,Day,Price,Sentiment
4507,20150105,3.22,-0.5340765909506724
4508,20150106,2.98,-0.3370252274549924
4509,20150107,3.08,-0.06535698129580571
4510,20150108,2.92,-0.3265901460097386
4511,20150109,2.96,-0.37440371169493747
4512,20150112,2.9,-0.28797957874261415
4513,20150113,2.92,-0.3265901460097386
4514,20150114,3.15,-0.3090599041718703
4515,20150115,3.32,-0.2890005065844609
4516,20150116,3.11,-0.3871936614696796
4517,20150120,2.94,-0.3576646172083341
4518,20150121,2.94,-0.3576646172083341
4519,20150122,2.95,-0.4405647791348971
4520,20150123,2.96,-0.37440371169493747
4521,20150126,2.92,-0.3265901460097386
4522,20150127,2.96,-0.37440371169493747
4523,20150128,2.89,-0.39860695600509644
4524,20150129,2.88,-0.014383066159028273
4525,20150130,2.88,-0.014383066159028273
4526,20150202,2.88,-0.014383066159028273
4527,20150203,2.67,-0.7690418305305334
4528,20150204,2.73,-0.36304305035334367
4529,20150205,2.66,-0.5578327373816416
4530,20150206,2.66,-0.5578327373816416
4531,20150209,2.62,-0.47305674163194805
4532,20150210,2.67,-0.7690418305305334
4533,20150211,2.86,-0.5241784258530691
4534,20150212,2.86,-0.5241784258530691
4535,20150213,2.75,-0.19316587081322303
4536,20150217,2.75,-0.19316587081322303
4537,20150218,2.92,-0.3265901460097386
4538,20150219,2.92,-0.3265901460097386
4539,20150220,3.02,-0.26470159452695113
4540,20150223,3.22,-0.5340765909506724
4541,20150224,3.22,-0.5340765909506724
4542,20150225,3.21,-0.43213804639302766
4543,20150226,3.21,-0.43213804639302766
4544,20150227,2.79,-0.32171515547312224
4545,20150302,2.79,-0.32171515547312224
4546,20150303,3.0,-0.39704082103875965
4547,20150304,3.27,-0.4176868429550758
4548,20150305,3.27,-0.4176868429550758
4549,20150306,2.89,-0.39860695600509644
4550,20150309,2.75,-0.19316587081322303
4551,20150310,2.76,-0.48340381338046146
4552,20150311,2.76,-0.48340381338046146
4553,20150312,2.82,-0.12264442329223339
4554,20150313,2.72,-0.12427700139009036
4555,20150316,2.68,-0.5839033734339935
4556,20150317,2.82,-0.12264442329223339
4557,20150318,2.8,-0.5047634129340832
4558,20150319,2.86,-0.5241784258530691
4559,20150320,2.86,-0.5241784258530691
4560,20150323,2.72,-0.12427700139009036
4561,20150324,2.79,-0.32171515547312224
4562,20150325,2.77,-0.2954274920316843
4563,20150326,2.77,-0.2954274920316843
4564,20150327,2.89,-0.39860695600509644
4565,20150330,2.64,-0.33666178240225864
4566,20150331,2.65,-0.8192868037865713
4567,20150401,2.62,-0.47305674163194805
4568,20150402,2.63,-0.40004715438072497
4569,20150406,2.63,-0.40004715438072497
4570,20150407,2.71,-0.29689364020641035
4571,20150408,2.71,-0.29689364020641035
4572,20150409,2.72,-0.12427700139009036
4573,20150410,2.58,-0.32072873413562775
4574,20150413,2.58,-0.32072873413562775
4575,20150414,2.58,-0.32072873413562775
4576,20150415,2.62,-0.47305674163194805
4577,20150416,2.61,0.0489645955654291
4578,20150417,2.67,-0.7690418305305334
4579,20150420,2.57,-0.4890455901622772
4580,20150421,2.59,-0.4505395121299304
4581,20150422,2.63,-0.40004715438072497
4582,20150423,2.59,-0.4505395121299304
4583,20150424,2.59,-0.4505395121299304
4584,20150427,2.5,-0.29020107709444487
4585,20150428,2.55,-0.7996637190763767
4586,20150429,2.55,-0.7996637190763767
4587,20150430,2.56,-0.5480467803203143
4588,20150501,2.68,-0.5839033734339935
4589,20150504,2.72,-0.12427700139009036
4590,20150505,2.76,-0.48340381338046146
4591,20150506,2.76,-0.48340381338046146
4592,20150507,2.74,-0.2897709275667484
4593,20150508,2.78,-0.36502571174731624
4594,20150511,2.85,-0.5364674077584193
4595,20150512,2.85,-0.5364674077584193
4596,20150513,2.85,-0.5364674077584193
4597,20150514,2.87,-0.17962492085420168
4598,20150515,2.96,-0.37440371169493747
4599,20150518,3.01,-0.31576253932255965
4600,20150519,3.01,-0.31576253932255965
4601,20150520,3.04,-0.21896981849120215
4602,20150521,2.96,-0.37440371169493747
4603,20150522,2.96,-0.37440371169493747
4604,20150526,2.82,-0.12264442329223339
4605,20150527,2.82,-0.12264442329223339
4606,20150528,2.78,-0.36502571174731624
4607,20150529,2.78,-0.36502571174731624
4608,20150601,2.78,-0.36502571174731624
4609,20150602,2.63,-0.40004715438072497
4610,20150603,2.65,-0.8192868037865713
4611,20150604,2.6,-0.3720721762913924
4612,20150605,2.6,-0.3720721762913924
4613,20150608,2.6,-0.3720721762913924
4614,20150609,2.72,-0.12427700139009036
4615,20150610,2.81,-0.349920120376807
4616,20150611,2.88,-0.014383066159028273
4617,20150612,2.88,-0.014383066159028273
4618,20150615,2.89,-0.39860695600509644
4619,20150616,2.94,-0.3576646172083341
4620,20150617,2.93,-0.33835518474762255
4621,20150618,2.93,-0.33835518474762255
4622,20150619,2.81,-0.349920120376807
4623,20150622,2.79,-0.32171515547312224
4624,20150623,2.83,-0.13431617273734167
4625,20150624,2.83,-0.13431617273734167
4626,20150625,2.8,-0.5047634129340832
4627,20150626,2.77,-0.2954274920316843
4628,20150629,2.77,-0.2954274920316843
4629,20150630,2.8,-0.5047634129340832
4630,20150701,2.78,-0.36502571174731624
4631,20150702,2.79,-0.32171515547312224
4632,20150703,2.79,-0.32171515547312224
4633,20150706,2.79,-0.32171515547312224
4634,20150707,2.77,-0.2954274920316843
4635,20150708,2.77,-0.2954274920316843
4636,20150709,2.7,-0.44483379790416133
4637,20150710,2.7,-0.44483379790416133
4638,20150713,2.88,-0.014383066159028273
4639,20150714,2.88,-0.014383066159028273
4640,20150715,2.93,-0.33835518474762255
4641,20150716,2.9,-0.28797957874261415
4642,20150717,2.88,-0.014383066159028273
4643,20150720,2.88,-0.014383066159028273
4644,20150721,2.84,-0.44579958342588866
4645,20150722,2.84,-0.44579958342588866
4646,20150723,2.92,-0.3265901460097386
4647,20150724,2.92,-0.3265901460097386
4648,20150727,2.92,-0.3265901460097386
4649,20150728,2.89,-0.39860695600509644
4650,20150729,2.91,-0.2954111867226087
4651,20150730,2.87,-0.17962492085420168
4652,20150731,2.76,-0.48340381338046146
4653,20150803,2.76,-0.48340381338046146
4654,20150804,2.83,-0.13431617273734167
4655,20150805,2.85,-0.5364674077584193
4656,20150806,2.76,-0.48340381338046146
4657,20150807,2.76,-0.48340381338046146
4658,20150810,2.85,-0.5364674077584193
4659,20150811,2.84,-0.44579958342588866
4660,20150812,2.93,-0.33835518474762255
4661,20150813,2.93,-0.33835518474762255
4662,20150814,2.83,-0.13431617273734167
4663,20150817,2.79,-0.32171515547312224
4664,20150818,2.71,-0.29689364020641035
4665,20150819,2.77,-0.2954274920316843
4666,20150820,2.77,-0.2954274920316843
4667,20150821,2.7,-0.44483379790416133
4668,20150824,2.65,-0.8192868037865713
4669,20150825,2.71,-0.29689364020641035
4670,20150826,2.73,-0.36304305035334367
4671,20150827,2.69,-0.12183909118175507
4672,20150828,2.69,-0.12183909118175507
4673,20150831,2.7,-0.44483379790416133
4674,20150901,2.7,-0.44483379790416133
4675,20150902,2.7,-0.44483379790416133
4676,20150903,2.67,-0.7690418305305334
4677,20150904,2.67,-0.7690418305305334
4678,20150907,2.67,-0.7690418305305334
4679,20150908,2.74,-0.2897709275667484
4680,20150909,2.74,-0.2897709275667484
4681,20150910,2.71,-0.29689364020641035
4682,20150911,2.67,-0.7690418305305334
4683,20150914,2.7,-0.44483379790416133
4684,20150915,2.74,-0.2897709275667484
4685,20150916,2.69,-0.12183909118175507
4686,20150917,2.69,-0.12183909118175507
