Day,Price
199701,3.45
199702,2.15
199703,1.89
199704,2.03
199705,2.25
199706,2.2
199707,2.19
199708,2.49
199709,2.88
199710,3.07
199711,3.01
199712,2.35
199801,2.09
199802,2.23
199803,2.24
199804,2.43
199805,2.14
199806,2.17
199807,2.17
199808,1.85
199809,2.02
199810,1.91
199811,2.12
199812,1.72
199901,1.85
199902,1.77
199903,1.79
199904,2.15
199905,2.26
199906,2.3
199907,2.31
199908,2.8
199909,2.55
199910,2.73
199911,2.37
199912,2.36
200001,2.42
200002,2.66
200003,2.79
200004,3.04
200005,3.59
200006,4.29
200007,3.99
200008,4.43
200009,5.06
200010,5.02
200011,5.52
200012,8.9
200101,8.17
200102,5.61
200103,5.23
200104,5.19
200105,4.19
200106,3.72
200107,3.11
200108,2.97
200109,2.19
200110,2.46
200111,2.34
200112,2.3
200201,2.32
200202,2.32
200203,3.03
200204,3.43
200205,3.5
200206,3.26
200207,2.99
200208,3.09
200209,3.55
200210,4.13
200211,4.04
200212,4.74
200301,5.43
200302,7.71
200303,5.93
200304,5.26
200305,5.81
200306,5.82
200307,5.03
200308,4.99
200309,4.62
200310,4.63
200311,4.47
200312,6.13
200401,6.14
200402,5.37
200403,5.39
200404,5.71
200405,6.33
200406,6.27
200407,5.93
200408,5.41
200409,5.15
200410,6.35
200411,6.17
200412,6.58
200501,6.15
200502,6.14
200503,6.96
200504,7.16
200505,6.47
200506,7.18
200507,7.63
200508,9.53
200509,11.75
200510,13.42
200511,10.3
200512,13.05
200601,8.69
200602,7.54
200603,6.89
200604,7.16
200605,6.25
200606,6.21
200607,6.17
200608,7.14
200609,4.9
200610,5.85
200611,7.41
200612,6.73
200701,6.55
200702,8.0
200703,7.11
200704,7.6
200705,7.64
200706,7.35
200707,6.22
200708,6.22
200709,6.08
200710,6.74
200711,7.1
200712,7.11
200801,7.99
200802,8.54
200803,9.41
200804,10.18
200805,11.27
200806,12.69
200807,11.09
200808,8.26
200809,7.67
200810,6.74
200811,6.68
200812,5.82
200901,5.24
200902,4.52
200903,3.96
200904,3.5
200905,3.83
200906,3.8
200907,3.38
200908,3.14
200909,2.99
200910,4.01
200911,3.66
200912,5.35
201001,5.83
201002,5.32
201003,4.29
201004,4.03
201005,4.14
201006,4.8
201007,4.63
201008,4.32
201009,3.89
201010,3.43
201011,3.71
201012,4.25
201101,4.49
201102,4.09
201103,3.97
201104,4.24
201105,4.31
201106,4.54
201107,4.42
201108,4.06
201109,3.9
201110,3.57
201111,3.24
201112,3.17
201201,2.67
201202,2.51
201203,2.17
201204,1.95
201205,2.43
201206,2.46
201207,2.95
201208,2.84
201209,2.85
201210,3.32
201211,3.54
201212,3.34
201301,3.33
201302,3.33
201303,3.81
201304,4.17
201305,4.04
201306,3.83
201307,3.62
201308,3.43
201309,3.62
201310,3.68
201311,3.64
201312,4.24
201401,4.71
201402,6.0
201403,4.9
201404,4.66
201405,4.58
201406,4.59
201407,4.05
201408,3.91
201409,3.92
201410,3.78
201411,4.12
201412,3.48
201501,2.99
201502,2.87
201503,2.83
201504,2.61
201505,2.85
201506,2.78
201507,2.84
201508,2.77
201509,2.66
201510,2.34
201511,2.09
201512,1.93
201601,2.28
201602,1.99
201603,1.73
201604,1.92
201605,1.92
201606,2.59
201607,2.82
201608,2.82
201609,2.99
201610,2.98
201611,2.55
201612,3.59
201701,3.3
201702,2.85
201703,2.88
201704,3.1
201705,3.15
201706,2.98
201707,2.98
201708,2.9
201709,2.98
201710,2.88
201711,3.01
201712,2.82
201801,3.87
201802,2.67
201803,2.69
201804,2.8
201805,2.8
201806,2.97
201807,2.83
201808,2.96
201809,3.0
201810,3.28
201811,4.09
201812,4.04
201901,3.11
201902,2.69
201903,2.95
201904,2.65
201905,2.64
201906,2.4
201907,2.37
201908,2.22
201909,2.56
201910,2.33
201911,2.65
201912,2.22
202001,2.02
202002,1.91
202003,1.79
202004,1.74
202005,1.75
202006,1.63
202007,1.77
202008,2.3
202009,1.92
202010,2.39
202011,2.61
202012,2.59
202101,2.71
202102,5.35
202103,2.62
202104,2.66
202105,2.91
202106,3.26
202107,3.84
202108,4.07
202109,5.16
202110,5.51
202111,5.05
202112,3.76
202201,4.38
202202,4.69
202203,4.9
202204,6.6
