Day,Price
19970110,3.79
19970117,4.19
19970124,2.98
19970131,2.91
19970207,2.53
19970214,2.3
19970221,1.91
19970228,1.82
19970307,1.86
19970314,1.96
19970321,1.91
19970328,1.84
19970404,1.88
19970411,1.98
19970418,2.04
19970425,2.14
19970502,2.15
19970509,2.29
19970516,2.22
19970523,2.22
19970530,2.28
19970606,2.17
19970613,2.16
19970620,2.22
19970627,2.27
19970704,2.15
19970711,2.15
19970718,2.24
19970725,2.2
19970801,2.22
19970808,2.37
19970815,2.53
19970822,2.54
19970829,2.58
19970905,2.77
19970912,2.76
19970919,2.85
19970926,3.08
19971003,3.0
19971010,2.83
19971017,2.89
19971024,3.21
19971031,3.42
19971107,3.16
19971114,3.25
19971121,2.89
19971128,2.55
19971205,2.51
19971212,2.34
19971219,2.34
19971226,2.21
19980102,2.26
19980109,2.11
19980116,2.05
19980123,2.11
19980130,2.08
19980206,2.28
19980213,2.21
19980220,2.2
19980227,2.22
19980306,2.18
19980313,2.22
19980320,2.23
19980327,2.3
19980403,2.41
19980410,2.57
19980417,2.46
19980424,2.4
19980501,2.23
19980508,2.14
19980515,2.2
19980522,2.13
19980529,2.09
19980605,2.1
19980612,2.0
19980619,2.11
19980626,2.38
19980703,2.39
19980710,2.36
19980717,2.21
19980724,2.05
19980731,1.95
19980807,1.86
19980814,1.85
19980821,1.93
19980828,1.81
19980904,1.72
19980911,1.83
19980918,2.07
19980925,2.24
19981002,2.2
19981009,1.99
19981016,1.73
19981023,1.9
19981030,1.89
19981106,2.11
19981113,2.27
19981120,2.12
19981127,2.08
19981204,1.34
19981211,1.6
19981218,1.93
19981225,1.95
19990101,1.84
19990108,2.0
19990115,1.81
19990122,1.81
19990129,1.76
19990205,1.79
19990212,1.81
19990219,1.79
19990226,1.7
19990305,1.69
19990312,1.87
19990319,1.75
19990326,1.79
19990402,1.92
19990409,2.04
19990416,2.12
19990423,2.18
19990430,2.3
19990507,2.3
19990514,2.24
19990521,2.27
19990528,2.23
19990604,2.34
